key,value,comment,english
MMSKILL_MUTATION_ANOMALY,"Mutations-Anomalie","Skill node","Mutation Anomaly"
MMSKILL_NEST_OF_ABUNDANCE,"Nest der Fülle","Skill node","Nest of Abundance"
MMSKILL_CALL_OF_WEAPONS,"Ruf der Waffen","Skill node","Call of Weapons"
MMSKILL_CALL_OF_SHIELDS,"Ruf der Schilde","Skill node","Call of Shields"
MMSKILL_CALL_OF_THE_CORE,"Ruf des Kerns","Skill node","Call of the Core"
MMSKILL_CALL_OF_THE_ENGINE,"Ruf des Antriebs","Skill node","Call of the Engine"
MMSKILL_CALL_OF_THE_NEXUS,"Ruf des Nexus","Skill node","Call of the Nexus"
MMSKILL_CARLO_MISSION_RARITY,"Carlo-Missions-Seltenheit","Skill node","Carlo Mission Rarity"
MMSKILL_UBER_DRAK_VETH,"Uber Drak'Veth","Skill node","Uber Drak'Veth"
MMSKILL_UBER_MATILDA,"Uber Matilda","Skill node","Uber Matilda"
MMSKILL_GOLDEN_NOSE,"Goldener Schnabel","Skill node","Golden Nose"
MMSKILL_EXQUISITE_BEAK,"Exquisiter Schnabel","Skill node","Exquisite Beak"
MMSKILL_ABYSS_KIKI_MISSION_CHANCE,"Abgrund-Kiki-Mission-Chance","Skill node","Abyss Kiki Mission Chance"
MMSKILL_LOOT_SNIFFER,"Lootschnüffler","Skill node","Loot Sniffer"
MMSKILL_KIKI_MISSION_CHANCE,"Kiki-Mission-Chance","Skill node","Kiki Mission Chance"
MMSKILL_HIDDEN_VAULT,"Verstecktes Gewölbe","Skill node","Hidden Vault"
MMSKILL_KIKI_MISSION_RARITY,"Kiki-Missions-Seltenheit","Skill node","Kiki Mission Rarity"
MMSKILL_TREASURE_TINGLE,"Schatzkribbeln","Skill node","Treasure Tingle"
MMSKILL_TWISTED_LOOT_BOXES,"Verdrehte Lootboxen","Skill node","Twisted Loot Boxes"
MMSKILL_OCTRONS_UNBOXING,"Octrons Unboxing","Skill node","Octron's Unboxing"
MMSKILL_TWISTED_WEAPONS,"Verdrehte Waffen","Skill node","Twisted Weapons"
MMSKILL_TWISTED_SHIELDS,"Verdrehte Schilde","Skill node","Twisted Shields"
MMSKILL_TWISTED_CORES,"Verdrehte Kerne","Skill node","Twisted Cores"
MMSKILL_TWISTED_ENGINES,"Verdrehte Antriebe","Skill node","Twisted Engines"
MMSKILL_TWISTED_NEXUSES,"Verdrehte Nexusse","Skill node","Twisted Nexuses"
MMSKILL_CHIPSTREAM,"Chipstrom","Skill node","Chipstream"
MMSKILL_EMPOWERED_CHIPSTREAM,"Ermächtigter Chipstrom","Skill node","Empowered Chipstream"
MMSKILL_DUPLICATE_LOOT_BOXES,"Duplizierte Lootboxen","Skill node","Duplicate Loot Boxes"
MMSKILL_ONE_FOR_EACH_TWIN,"Eine für jeden Zwilling","Skill node","One for each Twin"
MMSKILL_LIBRARIAN,"Bibliothekar","Skill node","Librarian"
MMSKILL_GLUTTONY_OF_THE_DEEP,"Völlerei der Tiefe","Skill node","Gluttony of the Deep"
MMSKILL_FRUGALITY_OF_THE_DEEP,"Genügsamkeit der Tiefe","Skill node","Frugality of the Deep"
MMSKILL_GIFT_OF_THE_MACHINE,"Gabe der Maschine","Skill node","Gift of the Machine"
MMSKILL_AMPLIFIER_OF_THE_MACHINE,"Verstärker der Maschine","Skill node","Amplifier of the Machine"
MMSKILL_EXPLORER_OF_THE_DEEP,"Erforscher der Tiefe","Skill node","Explorer of the Deep"
MMSKILL_PHOTOLITHOGRAPHY,"Fotolithografie","Skill node","Photolithography"
MMSKILL_TWIN_DICE,"Zwillingswürfel","Skill node","Twin Dice"
MMSKILL_UNIQUE_SECTOR_RARITY,"Einzigartige Sektor-Seltenheit","Skill node","Unique Sector Rarity"
MMSKILL_NON_UNIQUE_SECTOR_RARITY,"Nicht-einzigartige Sektor-Seltenheit","Skill node","Non-unique Sector Rarity"
MMSKILL_TALE_OF_LEGENDS,"Sagenhafte Legenden","Skill node","Tale of Legends"
MMSKILL_TALE_OF_REALITY,"Sagenhafte Realität","Skill node","Tale of Reality"
MMSKILL_UNCHARTED_FORTUNE,"Unentdeckter Reichtum","Skill node","Uncharted Fortune"
MMSKILL_ABYSS_MIRROR,"Spiegel des Abgrunds","Skill node","Mirror of the Abyss"
MMSKILL_OCTRONS_REACH,"Octron's Griff","Skill node","Octron's Reach"
MMSKILL_ABYSS_DEPTH,"Abgrund Tiefe","Skill node","Abyss Depth"
MMSKILL_INTO_THE_DEEP,"In die Tiefe","Skill node","Into the Deep"
MMSKILL_SHARD_GOBLIN_CHANCE,"Splitter-Goblin Chance","Skill node","Shard Goblin Chance"
MMSKILL_DUPLICATE_SHARD_GOBLIN_CHANCE,"Duplizierte Splitter-Goblin Chance","Skill node","Duplicate Shard Goblin Chance"
MMSKILL_GOBLIN_FEVER,"Goblin Fieber","Skill node","Goblin Fever"
MMSKILL_GOBLIN_ECHO,"Goblin Echo","Skill node","Goblin Echo"
MMSKILL_KIKIS_GOBLIN_TRICK,"Kikis Goblin Trick","Skill node","Kiki's Goblin Trick"
MMSKILL_GOBLIN_GRAV,"Goblin Klone","Skill node","Goblin Grav"
MMSKILL_NEXUS_AUGMENTATION_CHANCE,"Geprägte Nexus Chance","Skill node","Nexus Augmentation Chance"
MMSKILL_SHARD_STRUCK,"Splitter Magnet","Skill node","Shard Struck"
MMSKILL_NEXUS_SHARD_CHANCE,"Nexus-Splitter Chance","Skill node","Nexus Shard Chance"
MMSKILL_SHARD_HATCHERY,"Splitter Brut","Skill node","Shard Hatchery"
MMSKILL_UNLEASHED_OCTRON,"Entfesselter Octron","Skill node","Unleashed Octron"
MMSKILL_CONTAINED_OCTRON,"Gebändigter Octron","Skill node","Contained Octron"
MMSKILL_SECTOR_CHIP_SOCKET,"Sektor-Chip Sockel","Skill node","Sector Chip Socket"
MMSKILL_RANK_8,"Rang 8","Skill node","Rank 8"
MMSKILL_ECHOES_OF_THE_EIGHTH,"Achtes Echo","Skill node","Echoes of the Eighth"
MMSKILL_OCTRONS_ARENA_CHANCE,"Octrons Arena Chance","Skill node","Octron's Arena Chance"
MMSKILL_ENTANGLED_EGGS,"Verstrickte Eier","Skill node","Entangled Eggs"
MMSKILL_ENTANGLED_LOOT,"Verstricktes Loot","Skill node","Entangled Loot"
MMSKILL_OCTRONICS,"Octronics","Skill node","Octronics"
MMSKILL_SHARD_SHOP,"Splitter-Shop","Skill node","Shard Shop"
MMSKILL_MACHINES_BOUNTY,"Beute der Maschine","Skill node","Machine's Bounty"
