key,value,comment,english
MMSKILL_TWISTED_LOOT_BOXES,"뒤틀린 전리품 상자","Skill node","Twisted Loot Boxes"
MMSKILL_OCTRONS_UNBOXING,"옥트론의 상자 개봉","Skill node","Octron's Unboxing"
MMSKILL_TWISTED_WEAPONS,"뒤틀린 무기","Skill node","Twisted Weapons"
MMSKILL_TWISTED_SHIELDS,"뒤틀린 보호막","Skill node","Twisted Shields"
MMSKILL_TWISTED_CORES,"뒤틀린 코어","Skill node","Twisted Cores"
MMSKILL_TWISTED_ENGINES,"뒤틀린 엔진","Skill node","Twisted Engines"
MMSKILL_TWISTED_NEXUSES,"뒤틀린 넥서스","Skill node","Twisted Nexuses"
MMSKILL_CHIPSTREAM,"칩스트림","Skill node","Chipstream"
MMSKILL_EMPOWERED_CHIPSTREAM,"강화된 칩스트림","Skill node","Empowered Chipstream"
MMSKILL_DUPLICATE_LOOT_BOXES,"전리품 상자 복제","Skill node","Duplicate Loot Boxes"
MMSKILL_ONE_FOR_EACH_TWIN,"쌍둥이마다 하나씩","Skill node","One for each Twin"
MMSKILL_LIBRARIAN,"사서","Skill node","Librarian"
MMSKILL_GLUTTONY_OF_THE_DEEP,"깊은 곳의 폭식","Skill node","Gluttony of the Deep"
MMSKILL_FRUGALITY_OF_THE_DEEP,"깊은 곳의 절약","Skill node","Frugality of the Deep"
MMSKILL_GIFT_OF_THE_MACHINE,"기계의 선물","Skill node","Gift of the Machine"
MMSKILL_AMPLIFIER_OF_THE_MACHINE,"기계의 증폭기","Skill node","Amplifier of the Machine"
MMSKILL_EXPLORER_OF_THE_DEEP,"깊은 곳의 탐험가","Skill node","Explorer of the Deep"
MMSKILL_PHOTOLITHOGRAPHY,"포토리소그래피","Skill node","Photolithography"
MMSKILL_TWIN_DICE,"쌍둥이 주사위","Skill node","Twin Dice"
MMSKILL_UNIQUE_SECTOR_RARITY,"고유 섹터 희귀도","Skill node","Unique Sector Rarity"
MMSKILL_NON_UNIQUE_SECTOR_RARITY,"비-고유 섹터 희귀도","Skill node","Non-unique Sector Rarity"
MMSKILL_TALE_OF_LEGENDS,"전설 이야기","Skill node","Tale of Legends"
MMSKILL_TALE_OF_REALITY,"현실 이야기","Skill node","Tale of Reality"
MMSKILL_UNCHARTED_FORTUNE,"미지의 행운","Skill node","Uncharted Fortune"
MMSKILL_ABYSS_MIRROR,"심연의 거울","Skill node","Mirror of the Abyss"
MMSKILL_OCTRONS_REACH,"옥트론의 손길","Skill node","Octron's Reach"
MMSKILL_ABYSS_DEPTH,"심연의 깊이","Skill node","Abyss Depth"
MMSKILL_INTO_THE_DEEP,"깊은 곳으로","Skill node","Into the Deep"
MMSKILL_SHARD_GOBLIN_CHANCE,"파편 고블린 확률","Skill node","Shard Goblin Chance"
MMSKILL_DUPLICATE_SHARD_GOBLIN_CHANCE,"파편 고블린 복제 확률","Skill node","Duplicate Shard Goblin Chance"
MMSKILL_GOBLIN_FEVER,"고블린 열기","Skill node","Goblin Fever"
MMSKILL_GOBLIN_ECHO,"고블린 메아리","Skill node","Goblin Echo"
MMSKILL_KIKIS_GOBLIN_TRICK,"키키의 고블린 속임수","Skill node","Kiki's Goblin Trick"
MMSKILL_GOBLIN_GRAV,"고블린 그라브","Skill node","Goblin Grav"
MMSKILL_NEXUS_AUGMENTATION_CHANCE,"넥서스 증강 확률","Skill node","Nexus Augmentation Chance"
MMSKILL_SHARD_STRUCK,"파편 강타","Skill node","Shard Struck"
MMSKILL_NEXUS_SHARD_CHANCE,"넥서스 파편 확률","Skill node","Nexus Shard Chance"
MMSKILL_SHARD_HATCHERY,"파편 부화장","Skill node","Shard Hatchery"
MMSKILL_UNLEASHED_OCTRON,"해방된 옥트론","Skill node","Unleashed Octron"
MMSKILL_CONTAINED_OCTRON,"봉인된 옥트론","Skill node","Contained Octron"
MMSKILL_SECTOR_CHIP_SOCKET,"섹터 칩 홈","Skill node","Sector Chip Socket"
MMSKILL_RANK_8,"8등급","Skill node","Rank 8"
MMSKILL_ECHOES_OF_THE_EIGHTH,"여덟 번째 메아리","Skill node","Echoes of the Eighth"
MMSKILL_OCTRONS_ARENA_CHANCE,"옥트론의 투기장 확률","Skill node","Octron's Arena Chance"
MMSKILL_ENTANGLED_EGGS,"얽힌 알","Skill node","Entangled Eggs"
MMSKILL_ENTANGLED_LOOT,"얽힌 전리품","Skill node","Entangled Loot"
MMSKILL_OCTRONICS,"옥트로닉스","Skill node","Octronics"
MMSKILL_SHARD_SHOP,"파편 상점","Skill node","Shard Shop"
MMSKILL_MACHINES_BOUNTY,"기계의 풍요","Skill node","Machine's Bounty"
